word,phonetic,part_of_speech,meaning,difficulty,category
accent,/ˈæksent/,n.,口音；重音,easy,CET4
accept,/əkˈsept/,v.,接受；同意,easy,CET4
according,/əˈkɔːdɪŋ/,adv.,按照；根据,easy,CET4
account,/əˈkaʊnt/,n.,账户；说明；账目,easy,CET4
accurate,/ˈækjərət/,adj.,准确的；精确的,easy,CET4
accuse,/əˈkjuːz/,v.,指控；指责,easy,CET4
accustomed,/əˈkʌstəmd/,adj.,习惯的,easy,CET4
acid,/ˈæsɪd/,n.,酸；adj. 酸的,easy,CET4
acknowledge,/əkˈnɒlɪdʒ/,v.,承认；致谢,medium,CET4
acquaintance,/əˈkweɪntəns/,n.,熟人；相识,medium,CET4
acquire,/əˈkwaɪər/,v.,获得；学到,medium,CET4
adapt,/əˈdæpt/,v.,适应；改编,medium,CET4
addict,/ˈædɪkt/,n.,上瘾者；v. 使上瘾,easy,CET4
address,/əˈdres/,n.,地址；演讲；v. 处理,easy,CET4
adequate,/ˈædɪkwət/,adj.,足够的；适当的,medium,CET4
adjust,/əˈdʒʌst/,v.,调整；适应,easy,CET4
admire,/ədˈmaɪər/,v.,钦佩；欣赏,easy,CET4
admit,/ədˈmɪt/,v.,承认；准许进入,easy,CET4
adopt,/əˈdɒpt/,v.,采纳；收养,easy,CET4
advance,/ədˈvɑːns/,v.,前进；进步；n. 进展,easy,CET4
advantage,/ədˈvɑːntɪdʒ/,n.,优势；有利条件,easy,CET4
adventure,/ədˈventʃər/,n.,冒险；奇遇,easy,CET4
advertise,/ˈædvətaɪz/,v.,做广告；宣传,easy,CET4
affair,/əˈfeər/,n.,事情；事务,easy,CET4
affect,/əˈfekt/,v.,影响；感动,medium,CET4
afford,/əˈfɔːd/,v.,负担得起；提供,easy,CET4
agency,/ˈeɪdʒənsi/,n.,代理机构；中介,easy,CET4
agenda,/əˈdʒendə/,n.,议程；日程,easy,CET4
aggressive,/əˈɡresɪv/,adj.,好斗的；进取的,medium,CET4
agriculture,/ˈæɡrɪkʌltʃər/,n.,农业,medium,CET4
aim,/eɪm/,n.,目标；v. 瞄准,easy,CET4
airline,/ˈeəlaɪn/,n.,航空公司,easy,CET4
alarm,/əˈlɑːm/,n.,警报；闹钟；v. 使惊恐,easy,CET4
album,/ˈælbəm/,n.,相册；专辑,easy,CET4
alcohol,/ˈælkəhɒl/,n.,酒精；酒,easy,CET4
allow,/əˈlaʊ/,v.,允许；准许,easy,CET4
alternative,/ɔːlˈtɜːnətɪv/,n.,替代方案；adj. 可供选择的,medium,CET4
amaze,/əˈmeɪz/,v.,使惊奇,medium,CET4
ambition,/æmˈbɪʃn/,n.,雄心；抱负,medium,CET4
ambulance,/ˈæmbjələns/,n.,救护车,easy,CET4
amount,/əˈmaʊnt/,n.,数量；总额,easy,CET4
amuse,/əˈmjuːz/,v.,逗乐；使消遣,medium,CET4
analyse,/ˈænəlaɪz/,v.,分析,medium,CET4
ancient,/ˈeɪnʃənt/,adj.,古代的；古老的,easy,CET4
anniversary,/ˌænɪˈvɜːsəri/,n.,周年纪念日,medium,CET4
announce,/əˈnaʊns/,v.,宣布；宣告,easy,CET4
annoy,/əˈnɔɪ/,v.,使恼怒；打扰,easy,CET4
annual,/ˈænjuəl/,adj.,每年的；n. 年刊,medium,CET4
anxiety,/æŋˈzaɪəti/,n.,焦虑；担忧,medium,CET4
apologize,/əˈpɒlədʒaɪz/,v.,道歉,easy,CET4
apparent,/əˈpærənt/,adj.,显然的；表面上的,medium,CET4
appeal,/əˈpiːl/,v.,呼吁；吸引；上诉,medium,CET4
appetite,/ˈæpɪtaɪt/,n.,食欲；欲望,medium,CET4
applaud,/əˈplɔːd/,v.,鼓掌；称赞,medium,CET4
apply,/əˈplaɪ/,v.,申请；应用；适用,easy,CET4
appoint,/əˈpɔɪnt/,v.,任命；约定,medium,CET4
appreciate,/əˈpriːʃieɪt/,v.,感激；欣赏；领会,medium,CET4
approach,/əˈprəʊtʃ/,v.,接近；n. 方法；途径,medium,CET4
appropriate,/əˈprəʊpriət/,adj.,适当的；恰当的,medium,CET4
approve,/əˈpruːv/,v.,批准；赞成,medium,CET4
argue,/ˈɑːɡjuː/,v.,争论；主张,easy,CET4
arrange,/əˈreɪndʒ/,v.,安排；整理,easy,CET4
arrest,/əˈrest/,v.,逮捕；n. 逮捕,medium,CET4
article,/ˈɑːtɪkl/,n.,文章；物品；冠词,easy,CET4
artificial,/ˌɑːtɪˈfɪʃl/,adj.,人工的；人造的,medium,CET4
ashamed,/əˈʃeɪmd/,adj.,羞愧的,easy,CET4
aspect,/ˈæspekt/,n.,方面；外观,medium,CET4
assess,/əˈses/,v.,评估；估价,medium,CET4
assign,/əˈsaɪn/,v.,分配；指派,medium,CET4
assist,/əˈsɪst/,v.,帮助；协助,medium,CET4
associate,/əˈsəʊʃieɪt/,v.,联想；交往；n. 同事,medium,CET4
assume,/əˈsjuːm/,v.,假定；承担,medium,CET4
astonish,/əˈstɒnɪʃ/,v.,使惊讶,medium,CET4
athlete,/ˈæθliːt/,n.,运动员,medium,CET4
atmosphere,/ˈætməsfɪər/,n.,大气；气氛,medium,CET4
